Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Tanzania,59872584,61704518,63588334,65497748,67438106,69419073,71427810,73462459,75526304,77619828,79739837,81885304,84062352,86270886,88509837,90784591,93088536,95413992,97765602,100141517,102539970,104957697,107388342,109835803,112307641,114794893,117289963,119800689,122319850,124844557,127380963,129931520,132618849,135361758,138161399,141018943,143935589,146912559,149951100,153052487,156218018,159449022,162746850,166112887,169548542,173055256,176634498,180287768,184016598,187822549,191707218,195672232,199719253,203849977,208066135,212369495,216761859,221245070,225821005,230491583,235258760,240124535,245090948,250160079,255334053,260615039,266005250,271506944,277122428,282854055,288704228,294675397,300770066,306990789,313340173,319820879,326435624,333187179,340078374,347112097,354291296,361618980
Thailand,71307768,71475664,71601103,71697030,71801279,71885799,71953054,72005720,72043300,72065413,72071120,72060018,72032081,71987707,71924682,71841240,71737106,71612807,71469353,71305381,71120475,70916075,70693792,70453178,70193472,69915845,69620972,69308194,68977527,68629306,68263020,67880083,67537164,67195978,66856515,66518767,66182725,65848381,65515726,65184752,64855449,64527811,64201827,63877490,63554792,63233723,62914277,62596445,62280218,61965589,61652549,61341091,61031206,60722886,60416125,60110912,59807242,59505106,59204496,58905405,58607825,58311748,58017167,57724074,57432461,57142322,56853649,56566434,56280669,55996349,55713465,55432010,55151976,54873358,54596147,54320336,54045919,53772888,53501236,53230957,52962043,52694488
Togo,8243093,8442580,8644829,8848699,9053799,9260864,9470157,9682133,9896486,10113397,10333905,10558178,10784898,11014261,11246734,11481745,11719540,11959996,12202363,12446712,12693112,12941012,13189909,13439606,13690907,13943382,14197015,14452162,14707912,14964474,15221353,15478883,15748824,16023473,16302911,16587223,16876493,17170807,17470254,17774923,18084906,18400294,18721183,19047667,19379846,19717817,20061682,20411544,20767508,21129679,21498166,21873079,22254531,22642634,23037506,23439265,23848029,24263923,24687069,25117595,25555628,26001301,26454746,26916098,27385497,27863081,28348994,28843381,29346390,29858171,30378877,30908664,31447690,31996116,32554106,33121827,33699449,34287145,34885089,35493461,36112443,36742219
Tonga,104965,105254,106017,106858,107773,108683,109596,110504,111401,112305,113213,114124,115046,115978,116920,117874,118833,119784,120733,121669,122590,123504,124398,125270,126117,126936,127727,128483,129214,129913,130583,131225,131936,132651,133370,134092,134819,135549,136284,137022,137765,138511,139262,140016,140775,141537,142304,143075,143851,144630,145414,146202,146994,147790,148591,149396,150206,151019,151838,152660,153488,154319,155155,155996,156841,157691,158545,159404,160268,161137,162010,162887,163770,164657,165549,166446,167348,168255,169167,170083,171005,171931
Trinidad and Tobago,1519960,1518147,1525663,1531044,1534937,1538200,1540943,1543223,1545029,1546363,1547228,1547690,1547804,1547540,1546883,1545880,1544560,1542899,1540902,1538563,1535893,1532947,1529645,1525952,1521918,1517572,1512948,1508022,1502772,1497180,1491290,1485139,1479639,1474159,1468700,1463260,1457841,1452442,1447063,1441704,1436365,1431045,1425745,1420465,1415204,1409963,1404741,1399539,1394356,1389192,1384047,1378921,1373815,1368727,1363658,1358607,1353576,1348563,1343569,1338593,1333635,1328696,1323775,1318873,1313989,1309122,1304274,1299444,1294631,1289837,1285060,1280300,1275559,1270835,1266128,1261439,1256768,1252113,1247476,1242856,1238253,1233667
Tunisia,12049319,12161723,12262946,12356117,12458223,12564689,12665802,12761929,12853207,12939969,13022396,13100768,13175516,13247347,13316811,13384136,13449717,13514365,13578685,13642656,13706160,13769345,13832171,13894401,13955442,14014784,14072181,14127222,14179682,14228906,14274332,14315779,14365002,14414395,14463957,14513690,14563594,14613669,14663917,14714337,14764931,14815698,14866641,14917758,14969051,15020521,15072167,15123991,15175994,15228175,15280535,15333076,15385797,15438699,15491784,15545050,15598500,15652134,15705952,15759956,15814145,15868520,15923082,15977832,16032770,16087897,16143214,16198720,16254418,16310307,16366388,16422663,16479130,16535792,16592648,16649701,16706949,16764394,16822036,16879877,16937917,16996156
Turkey,83481688,83384680,84147318,84979913,85424312,85858536,86291408,86728912,87166768,87602880,88044000,88494560,88956704,89420880,89873232,90310152,90727992,91125824,91512912,91886288,92242712,92589208,92925736,93248272,93554456,93843960,94115848,94366288,94594160,94795288,94975512,95120416,95322613,95525239,95728296,95931785,96135706,96340061,96544851,96750075,96955736,97161834,97368370,97575345,97782760,97990616,98198914,98407655,98616839,98826468,99036542,99247064,99458032,99669449,99881316,100093633,100306401,100519621,100733295,100947423,101162006,101377045,101592541,101808496,102024909,102241783,102459117,102676914,102895173,103113897,103333085,103552739,103772860,103993449,104214507,104436035,104658034,104880505,105103448,105326866,105550758,105775127
Turkmenistan,6158424,6250438,6341855,6430770,6516100,6598071,6676966,6752978,6826380,6897471,6966778,7034758,7101681,7168235,7234748,7301217,7367831,7434587,7501167,7567351,7632912,7697615,7761736,7824940,7886878,7947372,8005874,8062292,8116436,8168136,8217307,8263833,8316414,8369329,8422581,8476172,8530104,8584379,8638999,8693967,8749285,8804954,8860978,8917358,8974097,9031197,9088660,9146489,9204686,9263253,9322193,9381508,9441200,9501272,9561727,9622566,9683792,9745407,9807415,9869817,9932616,9995815,10059416,10123422,10187835,10252657,10317893,10383543,10449611,10516099,10583011,10650348,10718113,10786310,10854941,10924008,10993515,11063464,11133858,11204700,11275993,11347739
Uganda,42949076,44404611,45853778,47249585,48582334,49924252,51284671,52667779,54074276,55500544,56937558,58380262,59824141,61273497,62728594,64184560,65647934,67116524,68590124,70067152,71541113,73014668,74486455,75954183,77419738,78886699,80354860,81821514,83284173,84738864,86185454,87622081,89152566,90709783,92294201,93906293,95546543,97215443,98913494,100641205,102399093,104187686,106007520,107859141,109743104,111659974,113610326,115594745,117613825,119668172,121758402,123885142,126049029,128250713,130490853,132770122,135089202,137448789,139849591,142292328,144777732,147306547,149879534,152497462,155161118,157871299,160628819,163434504,166289195,169193749,172149037,175155944,178215373,181328240,184495479,187718040,190996889,194333010,197727402,201181084,204695090,208270476
Ukraine,44211100,44132049,43822901,38000000,39414596,40512184,41187228,41319604,41233000,41033212,40829208,40619312,40403884,40182460,39956900,39728160,39498828,39267712,39034112,38796904,38554956,38309264,38059628,37806324,37549500,37291600,37032044,36769336,36506128,36238796,35969444,35690236,35427766,35167226,34908602,34651881,34397047,34144087,33892987,33643735,33396315,33150714,32906920,32664919,32424698,32186243,31949541,31714581,31481348,31249831,31020016,30791891,30565444,30340662,30117534,29896046,29676187,29457945,29241308,29026264,28812802,28600909,28390575,28181787,27974535,27768807,27564592,27361879,27160657,26960914,26762640,26565825,26370457,26176526,25984020,25792931,25603247,25414958,25228053,25042523,24858358,24675546
United Arab Emirates,9211660,9287289,9365145,9441129,9516871,9591853,9665319,9737048,9806692,9874281,9940085,10004319,10067403,10130008,10192521,10255434,10319346,10384576,10451479,10520193,10590827,10663646,10738862,10815996,10894640,10974581,11055055,11135424,11215445,11294748,11372877,11449471,11530027,11611150,11692843,11775112,11857959,11941389,12025406,12110014,12195217,12281020,12367427,12454441,12542068,12630311,12719176,12808665,12898784,12989537,13080929,13172963,13265645,13358979,13452970,13547623,13642941,13738929,13835594,13932938,14030967,14129686,14229099,14329212,14430029,14531556,14633797,14736757,14840442,14944856,15050004,15155893,15262527,15369910,15478050,15586950,15696616,15807054,15918269,16030267,16143052,16256631
United Kingdom,66778660,67081234,67026292,66971395,67184072,67389856,67586200,67776408,67958000,68131200,68298568,68456416,68609384,68758048,68903128,69045328,69186648,69324784,69463544,69597440,69729992,69859848,69984440,70102496,70212896,70314080,70408128,70489952,70560240,70620832,70670344,70703608,70762853,70822147,70881491,70940885,71000328,71059821,71119364,71178957,71238600,71298293,71358036,71417829,71477672,71537566,71597509,71657503,71717547,71777641,71837785,71897980,71958226,72018522,72078868,72139265,72199713,72260211,72320760,72381360,72442010,72502712,72563464,72624267,72685121,72746026,72806982,72867989,72929047,72990157,73051317,73112529,73173792,73235107,73296473,73357890,73419359,73480879,73542451,73604074,73665749,73727476
United States,334319680,331511512,332031554,333287557,335020960,336721632,338390688,340028928,341632576,343208576,344768288,346298144,347794368,349254688,350685120,352059328,353389120,354671968,355899264,357063392,358190368,359249664,360278912,361267872,362210624,363125280,363990912,364828224,365631488,366396896,367146176,367835520,368609301,369384710,370161749,370940424,371720736,372502690,373286289,374071536,374858435,375646989,376437203,377229078,378022619,378817830,379614713,380413273,381213513,382015436,382819045,383624346,384431340,385240032,386050425,386862523,387676329,388491848,389309081,390128034,390948710,391771112,392595244,393421109,394248712,395078056,395909144,396741981,397576570,398412914,399251018,400090885,400932518,401775922,402621100,403468056,404316794,405167317,406019630,406873735,407729637,408587339
Uruguay,3428412,3429086,3426260,3422794,3423108,3423316,3423454,3423599,3423688,3423682,3423584,3423372,3423001,3422418,3421623,3420506,3419085,3417374,3415209,3412541,3409390,3405741,3401505,3396680,3391282,3385327,3378836,3371743,3364011,3355660,3346715,3337143,3328866,3320610,3312375,3304159,3295964,3287790,3279636,3271502,3263388,3255294,3247220,3239167,3231133,3223119,3215125,3207151,3199197,3191263,3183348,3175453,3167577,3159721,3151884,3144067,3136269,3128491,3120732,3112992,3105271,3097569,3089887,3082223,3074579,3066954,3059347,3051759,3044191,3036640,3029109,3021596,3014102,3006627,2999170,2991732,2984312,2976910,2969527,2962162,2954815,2947487
Uzbekistan,32976946,34232050,34915100,35648100,36194172,36714380,37212392,37687332,38141768,38581336,39006944,39423316,39828456,40222856,40612192,40995568,41373800,41749520,42121560,42495208,42870264,43245524,43621188,43997680,44373628,44745796,45114276,45476156,45827308,46166592,46495308,46812812,47160117,47509999,47862477,48217570,48575297,48935679,49298733,49664482,50032944,50404139,50778089,51154813,51534332,51916666,52301837,52689865,53080773,53474580,53871309,54270982,54673620,55079244,55487879,55899545,56314265,56732061,57152958,57576977,58004142,58434476,58868003,59304746,59744729,60187977,60634513,61084362,61537548,61994096,62454032,62917380,63384165,63854414,64328151,64805403,65286196,65770556,66258509,66750083,67245303,67744198
Vanuatu,304414,311685,319137,326740,334506,342325,350202,358162,366230,374415,382716,391135,399683,408365,417158,426050,435047,444151,453374,462717,472147,481641,491182,500781,510431,520124,529838,539582,549346,559073,568810,578567,588838,599291,609930,620758,631778,642993,654408,666025,677849,689882,702129,714593,727279,740190,753330,766703,780314,794167,808265,822614,837217,852079,867206,882601,898269,914215,930445,946962,963773,980883,998295,1016018,1034054,1052411,1071094,1090108,1109460,1129156,1149201,1169602,1190365,1211497,1233004,1254893,1277170,1299843,1322918,1346403,1370305,1394631
Venezuela,28971686,28490453,28199867,28301696,28838499,29395334,29926368,30419164,30871303,31289368,31675964,32027461,32343259,32629217,32897334,33154162,33399450,33634577,33859303,34072370,34275073,34467670,34649900,34821950,34984268,35139454,35288946,35432031,35568603,35698639,35821554,35937404,36068519,36200111,36332184,36464739,36597778,36731302,36865313,36999813,37134803,37270287,37406264,37542738,37679709,37817180,37955153,38093629,38232610,38372099,38512096,38652604,38793625,38935160,39077212,39219782,39362872,39506484,39650620,39795282,39940471,40086191,40232442,40379227,40526547,40674404,40822801,40971740,41121222,41271249,41421824,41572948,41724623,41876852,42029636,42182978,42336879,42491341,42646367,42801959,42958118,43114847
Vietnam,95776712,96648685,97468029,98186856,98858950,99497680,100103979,100679892,101228069,101747121,102237046,102699905,103133107,103538310,103917806,104271016,104598253,104900707,105180604,105437667,105672878,105887768,106080557,106252410,106406496,106544934,106667721,106773162,106860645,106930754,106982197,107012939,107082117,107151339,107220606,107289918,107359274,107428676,107498122,107567613,107637149,107706730,107776356,107846028,107915744,107985505,108055311,108125162,108195059,108265001,108334988,108405020,108475097,108545220,108615388,108685602,108755860,108826165,108896514,108966910,109037350,109107836,109178368,109248946,109319569,109390237,109460952,109531712,109602517,109673369,109744266,109815210,109886199,109957234,110028314,110099441,110170614,110241833,110313098,110384409,110455766,110527169
Yemen,31546694,32284046,32981641,33696614,34449825,35219853,36000452,36781795,37565099,38349376,39135876,39923245,40710798,41499929,42288449,43075225,43861748,44649427,45436698,46222091,47006482,47790708,48571507,49345776,50117967,50885281,51644122,52395228,53136711,53866133,54585033,55296331,56057200,56828538,57610490,58403201,59206820,60021496,60847383,61684633,62533404,63393853,64266143,65150435,66046895,66955689,67876989,68810966,69757794,70717650,71690714,72677167,73677193,74690979,75718715,76760593,77816807,78887554,79973034,81073450,82189008,83319916,84466385,85628629,86806865,88001314,89212198,90439744,91684180,92945740,94224659,95521175,96835532,98167973,99518749,100888111,102276316,103683622,105110292,106556593,108022795,109509172
Zambia,18380478,18927715,19473125,20017675,20569737,21134695,21706928,22285947,22874132,23469301,24069686,24676417,25288002,25905154,26528160,27154050,27782051,28412879,29047769,29687072,30330252,30973549,31615986,32260579,32906910,33554740,34204865,34857072,35510018,36162890,36813065,37460435,38147827,38847832,39560683,40286614,41025865,41778682,42545313,43326012,44121036,44930649,45755117,46594715,47449719,48320413,49207083,50110024,51029533,51965916,52919480,53890543,54879424,55886451,56911957,57956281,59019767,60102769,61205643,62328755,63472476,64637184,65823264,67031109,68261117,69513696,70789259,72088228,73411034,74758112,76129909,77526879,78949482,80398191,81873482,83375845,84905776,86463781,88050375,89666083,91311438,92986986
Zimbabwe,15354606,15669666,15993524,16320537,16665409,17020321,17375285,17731592,18090446,18451235,18814068,19179393,19547971,19919582,20293203,20668334,21044297,21420364,21795710,22169385,22541721,22912369,23279976,23644449,24006629,24367005,24723911,25075678,25423417,25766806,26105252,26438589,26795539,27157308,27523961,27895565,28272185,28653890,29040749,29432831,29830206,30232947,30641124,31054813,31474087,31899021,32329693,32766179,33208558,33656910,34111315,34571855,35038613,35511672,35991118,36477038,36969518,37468646,37974514,38487211,39006831,39533465,40067210,40608161,41156416,41712072,42275231,42845993,43424460,44010738,44604931,45207146,45817492,46436078,47063016,47698418,48342398,48995073,49656560,50326978,51006447,51695090
EU27,447692315,447178112,447370510,445602445,444215257,443129978,442427087,441836074,441276009,440649067,439958468,439217512,438419718,437568469,436666319,435716867,434728530,433707608,432654815,431563281,430437273,429274971,428074807,426834967,425551489,424225175,422849563,421430435,419961669,418453074,416856402,415408150.7,413968287.6,412536764.7,411113534.8,409698550.4,408291764.9,406893131.6,405502604.4,404120137.1,402745684.3,401379200.5,400020640.7,398669960,397327114.2,395992058.8,394664750.1,393345144.5,392033198.6,390728869.4,389432114.1,388142890.2,386861155.5,385586868.1,384319986.4,383060468.9,381808274.5,380563362.4,379325691.9,378095222.8,376871915.1,375655728.8,374446624.5,373244562.8,372049504.8,370861411.7,369680244.9,368505966.2,367338537.6,366177921.2,365024079.6,363876975.4,362736571.7,361602831.6,360475718.5,359355196.1,358241228.4,357133779.5,356032813.7,354938295.7,353850190.3,
non-EIT Annex-I,1036881336,1038160389,1042300575,1044596238,1046843818,1049023741,1051131219,1053131396,1055032367,1056836639,1058543799,1060167342,1061690984,1063120569,1064433140,1065641623,1066751713,1067775055,1068686585,1069505305,1070202991,1070802063,1071288422,1071645798,1071892200,1072006254,1071993282,1071850088,1071565453,1071179224,1070570017,1070325948,1070096165,1069880620,1069679268,1069492066,1069318969,1069159932,1069014914,1068883869,1068766757,1068663534,1068574159,1068498591,1068436789,1068388712,1068354320,1068333573,1068326433,1068332860,1068352817,1068386264,1068433164,1068493480,1068567175,1068654212,1068754556,1068868171,1068995022,1069135072,1069288289,1069454638,1069634085,1069826597,1070032140,1070250683,1070482192,1070726637,1070983985,1071254205,1071537266,1071833139,1072141793,1072463199,1072797326,1073144147,1073503632,1073875754,1074260484,1074657796,1075067661,
EIT,299765264,298669144,291573225,290715775,289989162,289200829,288329462,287394685,286400502,285351193,284249475,283099684,281907236,280684117,279438307,278184695,276929107,275677111,274432174,273190509,271963844,270755156,269568045,268404501,267263975,266141277,265032038,263931327,262816705,261689084,260497075,259386385.3,258281659.1,257182859.7,256089950.6,255002895.6,253921658.9,252846204.7,251776497.5,250712502.2,249654183.7,248601507.4,247554438.8,246512943.5,245476987.6,244446537.3,243421558.9,242402019.2,241387885.1,240379123.6,239375702.1,238377588.1,237384749.4,236397154.1,235414770.2,234437566.3,233465511,232498573.1,231536721.7,230579926,229628155.5,228681380,227739569.2,226802693.3,225870722.6,224943627.5,224021378.7,223103947.2,222191304,221283420.3,220380267.7,219481817.8,218588042.4,217698913.6,216814403.6,215934484.8,215059129.8,214188311.4,213322002.5,212460176.3,211602806,
Annex-I,1336646600,1336829533,1333873800,1335312013,1336832980,1338224570,1339460681,1340526081,1341432869,1342187832,1342793274,1343267026,1343598220,1343804686,1343871447,1343826318,1343680820,1343452166,1343118759,1342695814,1342166835,1341557219,1340856467,1340050299,1339156175,1338147531,1337025320,1335781415,1334382158,1332868308,1331067092,1329712334,1328377824,1327063479,1325769219,1324494962,1323240628,1322006137,1320791411,1319596371,1318420940,1317265041,1316128598,1315011535,1313913776,1312835249,1311775879,1310735593,1309714318,1308711984,1307728519,1306763852,1305817913,1304890634,1303981945,1303091779,1302220067,1301366744,1300531743,1299714998,1298916445,1298136018,1297373654,1296629290,1295902863,1295194310,1294503571,1293830584,1293175289,1292537625,1291917534,1291314957,1290729836,1290162112,1289611730,1289078632,1288562762,1288064066,1287582487,1287117972,1286670467,
Non-Annex-I,6376504248,6443580941,6508322524,6575674732,6645848327,6715720626,6785009158,6853681846,6921717111,6989089196,7055779060,7121748474,7187020247,7251539522,7315201063,7378051576,7440027552,7501226847,7561727825,7621442851,7680334564,7738398314,7795497183,7851424200,7906099076,7959317424,8011083309,8061309348,8109959621,8157001456,8202197574,8253559957,8305887099,8359195047,8413500175,8468819190,8525169138,8582567415,8641031769,8700580312,8761231524,8823004265,8885917778,8949991702,9015246076,9081701350,9149378394,9218298506,9288483421,9359955320,9432736842,9506851089,9582321642,9659172566,9737428423,9817114282,9898255730,9980878884,10065010400,10150677487,10237907920,10326730048,10417172809,10509265745,10603039010,10698523389,10795750306,10894751842,10995560749,11098210463,11202735121,11309169572,11417549399,11527910932,11640291262,11754728262,11871260601,11989927765,12110770071,12233828688,12359145656,
World,7713150848,7780410474,7842196324,7910986745,7982681307,8053945196,8124469839,8194207927,8263149980,8331277028,8398572334,8465015500,8530618467,8595344208,8659072510,8721877894,8783708372,8844679013,8904846584,8964138665,9022501399,9079955533,9136353650,9191474499,9245255251,9297464955,9348108629,9397090763,9444341779,9489869764,9533264666,9583272290,9634264922,9686258526,9739269394,9793314151,9848409766,9904573552,9961823180,10020176683,10079652465,10140269307,10202046376,10265003237,10329159852,10394536599,10461154273,10529034099,10598197739,10668667304,10740465360,10813614941,10888139556,10964063200,11041410368,11120206061,11200475798,11282245628,11365542143,11450392486,11536824365,11624866066,11714546464,11805895035,11898941873,11993717699,12090253877,12188582426,12288736038,12390748088,12494652655,12600484529,12708279235,12818073044,12929902992,13043806894,13159823363,13277991830,13398352557,13520946660,13645816123,
